id,actor,movie
Barbara Hershey-Hannah and Her Sisters,Barbara Hershey,Hannah and Her Sisters
Jonathan Pryce-Brazil,Jonathan Pryce,Brazil
Kim Greist-Brazil,Kim Greist,Brazil
Robert De Niro-Brazil,Robert De Niro,Brazil
Katherine Helmond-Brazil,Katherine Helmond,Brazil
Rob Reiner-This Is Spinal Tap,Rob Reiner,This Is Spinal Tap
Michael McKean-This Is Spinal Tap,Michael McKean,This Is Spinal Tap
Christopher Guest-This Is Spinal Tap,Christopher Guest,This Is Spinal Tap
Kimberly Stringer-This Is Spinal Tap,Kimberly Stringer,This Is Spinal Tap
Peter Billingsley-A Christmas Story,Peter Billingsley,A Christmas Story
Melinda Dillon-A Christmas Story,Melinda Dillon,A Christmas Story
Darren McGavin-A Christmas Story,Darren McGavin,A Christmas Story
Scott Schwartz-A Christmas Story,Scott Schwartz,A Christmas Story
John Belushi-The Blues Brothers,John Belushi,The Blues Brothers
Dan Aykroyd-The Blues Brothers,Dan Aykroyd,The Blues Brothers
Cab Calloway-The Blues Brothers,Cab Calloway,The Blues Brothers
John Candy-The Blues Brothers,John Candy,The Blues Brothers
Woody Allen-Manhattan,Woody Allen,Manhattan
Diane Keaton-Manhattan,Diane Keaton,Manhattan
Mariel Hemingway-Manhattan,Mariel Hemingway,Manhattan
Michael Murphy-Manhattan,Michael Murphy,Manhattan
Roy Scheider-All That Jazz,Roy Scheider,All That Jazz
Jessica Lange-All That Jazz,Jessica Lange,All That Jazz
Ann Reinking-All That Jazz,Ann Reinking,All That Jazz
Leland Palmer-All That Jazz,Leland Palmer,All That Jazz
David Emge-Dawn of the Dead,David Emge,Dawn of the Dead
Ken Foree-Dawn of the Dead,Ken Foree,Dawn of the Dead
Scott H. Reiniger-Dawn of the Dead,Scott H. Reiniger,Dawn of the Dead
Gaylen Ross-Dawn of the Dead,Gaylen Ross,Dawn of the Dead
Dustin Hoffman-All the President's Men,Dustin Hoffman,All the President's Men
Robert Redford-All the President's Men,Robert Redford,All the President's Men
Jack Warden-All the President's Men,Jack Warden,All the President's Men
Martin Balsam-All the President's Men,Martin Balsam,All the President's Men
Alejandro Jodorowsky-La montaña sagrada,Alejandro Jodorowsky,La montaña sagrada
Horacio Salinas-La montaña sagrada,Horacio Salinas,La montaña sagrada
Zamira Saunders-La montaña sagrada,Zamira Saunders,La montaña sagrada
Juan Ferrara-La montaña sagrada,Juan Ferrara,La montaña sagrada
Magali Noël-Amarcord,Magali Noël,Amarcord
Bruno Zanin-Amarcord,Bruno Zanin,Amarcord
Pupella Maggio-Amarcord,Pupella Maggio,Amarcord
Armando Brancia-Amarcord,Armando Brancia,Amarcord
Fernando Rey-Le charme discret de la bourgeoisie,Fernando Rey,Le charme discret de la bourgeoisie
Delphine Seyrig-Le charme discret de la bourgeoisie,Delphine Seyrig,Le charme discret de la bourgeoisie
Paul Frankeur-Le charme discret de la bourgeoisie,Paul Frankeur,Le charme discret de la bourgeoisie
Bulle Ogier-Le charme discret de la bourgeoisie,Bulle Ogier,Le charme discret de la bourgeoisie
"Klaus Kinski-Aguirre, der Zorn Gottes",Klaus Kinski,"Aguirre, der Zorn Gottes"
"Ruy Guerra-Aguirre, der Zorn Gottes",Ruy Guerra,"Aguirre, der Zorn Gottes"
"Helena Rojo-Aguirre, der Zorn Gottes",Helena Rojo,"Aguirre, der Zorn Gottes"
"Del Negro-Aguirre, der Zorn Gottes",Del Negro,"Aguirre, der Zorn Gottes"
Ruth Gordon-Harold and Maude,Ruth Gordon,Harold and Maude
Bud Cort-Harold and Maude,Bud Cort,Harold and Maude
Vivian Pickles-Harold and Maude,Vivian Pickles,Harold and Maude
Cyril Cusack-Harold and Maude,Cyril Cusack,Harold and Maude
George C. Scott-Patton,George C. Scott,Patton
Karl Malden-Patton,Karl Malden,Patton
Stephen Young-Patton,Stephen Young,Patton
Michael Strong-Patton,Michael Strong,Patton
William Holden-The Wild Bunch,William Holden,The Wild Bunch
Ernest Borgnine-The Wild Bunch,Ernest Borgnine,The Wild Bunch
Robert Ryan-The Wild Bunch,Robert Ryan,The Wild Bunch
Edmond O'Brien-The Wild Bunch,Edmond O'Brien,The Wild Bunch
Duane Jones-Night of the Living Dead,Duane Jones,Night of the Living Dead
Judith O'Dea-Night of the Living Dead,Judith O'Dea,Night of the Living Dead
Karl Hardman-Night of the Living Dead,Karl Hardman,Night of the Living Dead
Marilyn Eastman-Night of the Living Dead,Marilyn Eastman,Night of the Living Dead
Peter O'Toole-The Lion in Winter,Peter O'Toole,The Lion in Winter
Katharine Hepburn-The Lion in Winter,Katharine Hepburn,The Lion in Winter
Anthony Hopkins-The Lion in Winter,Anthony Hopkins,The Lion in Winter
John Castle-The Lion in Winter,John Castle,The Lion in Winter
Sidney Poitier-In the Heat of the Night,Sidney Poitier,In the Heat of the Night
Rod Steiger-In the Heat of the Night,Rod Steiger,In the Heat of the Night
Warren Oates-In the Heat of the Night,Warren Oates,In the Heat of the Night
Lee Grant-In the Heat of the Night,Lee Grant,In the Heat of the Night
Cary Grant-Charade,Cary Grant,Charade
Audrey Hepburn-Charade,Audrey Hepburn,Charade
Walter Matthau-Charade,Walter Matthau,Charade
James Coburn-Charade,James Coburn,Charade
Frank Sinatra-The Manchurian Candidate,Frank Sinatra,The Manchurian Candidate
Laurence Harvey-The Manchurian Candidate,Laurence Harvey,The Manchurian Candidate
Janet Leigh-The Manchurian Candidate,Janet Leigh,The Manchurian Candidate
Angela Lansbury-The Manchurian Candidate,Angela Lansbury,The Manchurian Candidate
Kirk Douglas-Spartacus,Kirk Douglas,Spartacus
Laurence Olivier-Spartacus,Laurence Olivier,Spartacus
Jean Simmons-Spartacus,Jean Simmons,Spartacus
Charles Laughton-Spartacus,Charles Laughton,Spartacus
Gabriele Ferzetti-L'avventura,Gabriele Ferzetti,L'avventura
Monica Vitti-L'avventura,Monica Vitti,L'avventura
Lea Massari-L'avventura,Lea Massari,L'avventura
Dominique Blanchar-L'avventura,Dominique Blanchar,L'avventura
Emmanuelle Riva-Hiroshima mon amour,Emmanuelle Riva,Hiroshima mon amour
Eiji Okada-Hiroshima mon amour,Eiji Okada,Hiroshima mon amour
Stella Dassas-Hiroshima mon amour,Stella Dassas,Hiroshima mon amour
Pierre Barbaud-Hiroshima mon amour,Pierre Barbaud,Hiroshima mon amour
Charlton Heston-The Ten Commandments,Charlton Heston,The Ten Commandments
Yul Brynner-The Ten Commandments,Yul Brynner,The Ten Commandments
Anne Baxter-The Ten Commandments,Anne Baxter,The Ten Commandments
Edward G. Robinson-The Ten Commandments,Edward G. Robinson,The Ten Commandments
John Wayne-The Searchers,John Wayne,The Searchers
Jeffrey Hunter-The Searchers,Jeffrey Hunter,The Searchers
Vera Miles-The Searchers,Vera Miles,The Searchers
Ward Bond-The Searchers,Ward Bond,The Searchers
James Dean-East of Eden,James Dean,East of Eden
Raymond Massey-East of Eden,Raymond Massey,East of Eden
Julie Harris-East of Eden,Julie Harris,East of Eden
Burl Ives-East of Eden,Burl Ives,East of Eden
Gary Cooper-High Noon,Gary Cooper,High Noon
Grace Kelly-High Noon,Grace Kelly,High Noon
Thomas Mitchell-High Noon,Thomas Mitchell,High Noon
Lloyd Bridges-High Noon,Lloyd Bridges,High Noon
Farley Granger-Strangers on a Train,Farley Granger,Strangers on a Train
Robert Walker-Strangers on a Train,Robert Walker,Strangers on a Train
Ruth Roman-Strangers on a Train,Ruth Roman,Strangers on a Train
Leo G. Carroll-Strangers on a Train,Leo G. Carroll,Strangers on a Train
James Stewart-Harvey,James Stewart,Harvey
Wallace Ford-Harvey,Wallace Ford,Harvey
William H. Lynn-Harvey,William H. Lynn,Harvey
Victoria Horne-Harvey,Victoria Horne,Harvey
Edmund Gwenn-Miracle on 34th Street,Edmund Gwenn,Miracle on 34th Street
Maureen O'Hara-Miracle on 34th Street,Maureen O'Hara,Miracle on 34th Street
John Payne-Miracle on 34th Street,John Payne,Miracle on 34th Street
Gene Lockhart-Miracle on 34th Street,Gene Lockhart,Miracle on 34th Street
Cary Grant-Notorious,Cary Grant,Notorious
Ingrid Bergman-Notorious,Ingrid Bergman,Notorious
Claude Rains-Notorious,Claude Rains,Notorious
Louis Calhern-Notorious,Louis Calhern,Notorious
Humphrey Bogart-The Big Sleep,Humphrey Bogart,The Big Sleep
Lauren Bacall-The Big Sleep,Lauren Bacall,The Big Sleep
John Ridgely-The Big Sleep,John Ridgely,The Big Sleep
Martha Vickers-The Big Sleep,Martha Vickers,The Big Sleep
Ray Milland-The Lost Weekend,Ray Milland,The Lost Weekend
Jane Wyman-The Lost Weekend,Jane Wyman,The Lost Weekend
Phillip Terry-The Lost Weekend,Phillip Terry,The Lost Weekend
Howard Da Silva-The Lost Weekend,Howard Da Silva,The Lost Weekend
Cary Grant-The Philadelphia Story,Cary Grant,The Philadelphia Story
Katharine Hepburn-The Philadelphia Story,Katharine Hepburn,The Philadelphia Story
James Stewart-The Philadelphia Story,James Stewart,The Philadelphia Story
Ruth Hussey-The Philadelphia Story,Ruth Hussey,The Philadelphia Story
Cary Grant-His Girl Friday,Cary Grant,His Girl Friday
Rosalind Russell-His Girl Friday,Rosalind Russell,His Girl Friday
Ralph Bellamy-His Girl Friday,Ralph Bellamy,His Girl Friday
Gene Lockhart-His Girl Friday,Gene Lockhart,His Girl Friday
William Keighley-The Adventures of Robin Hood,William Keighley,The Adventures of Robin Hood
Errol Flynn-The Adventures of Robin Hood,Errol Flynn,The Adventures of Robin Hood
Olivia de Havilland-The Adventures of Robin Hood,Olivia de Havilland,The Adventures of Robin Hood
Basil Rathbone-The Adventures of Robin Hood,Basil Rathbone,The Adventures of Robin Hood
Edmund Goulding-A Night at the Opera,Edmund Goulding,A Night at the Opera
Groucho Marx-A Night at the Opera,Groucho Marx,A Night at the Opera
Chico Marx-A Night at the Opera,Chico Marx,A Night at the Opera
Harpo Marx-A Night at the Opera,Harpo Marx,A Night at the Opera
Ernest B. Schoedsack-King Kong,Ernest B. Schoedsack,King Kong
Fay Wray-King Kong,Fay Wray,King Kong
Robert Armstrong-King Kong,Robert Armstrong,King Kong
Bruce Cabot-King Kong,Bruce Cabot,King Kong
Wallace Ford-Freaks,Wallace Ford,Freaks
Leila Hyams-Freaks,Leila Hyams,Freaks
Olga Baclanova-Freaks,Olga Baclanova,Freaks
Roscoe Ates-Freaks,Roscoe Ates,Freaks
Max Schreck-Nosferatu,Max Schreck,Nosferatu
Alexander Granach-Nosferatu,Alexander Granach,Nosferatu
Gustav von Wangenheim-Nosferatu,Gustav von Wangenheim,Nosferatu
Greta Schröder-Nosferatu,Greta Schröder,Nosferatu
Matthew McConaughey-The Gentlemen,Matthew McConaughey,The Gentlemen
Charlie Hunnam-The Gentlemen,Charlie Hunnam,The Gentlemen
Michelle Dockery-The Gentlemen,Michelle Dockery,The Gentlemen
Jeremy Strong-The Gentlemen,Jeremy Strong,The Gentlemen
Alia Bhatt-Raazi,Alia Bhatt,Raazi
Vicky Kaushal-Raazi,Vicky Kaushal,Raazi
Rajit Kapoor-Raazi,Rajit Kapoor,Raazi
Shishir Sharma-Raazi,Shishir Sharma,Raazi
Riz Ahmed-Sound of Metal,Riz Ahmed,Sound of Metal
Olivia Cooke-Sound of Metal,Olivia Cooke,Sound of Metal
Paul Raci-Sound of Metal,Paul Raci,Sound of Metal
Lauren Ridloff-Sound of Metal,Lauren Ridloff,Sound of Metal
Shahab Hosseini-Forushande,Shahab Hosseini,Forushande
Taraneh Alidoosti-Forushande,Taraneh Alidoosti,Forushande
Babak Karimi-Forushande,Babak Karimi,Forushande
Mina Sadati-Forushande,Mina Sadati,Forushande
Fionn Whitehead-Dunkirk,Fionn Whitehead,Dunkirk
Barry Keoghan-Dunkirk,Barry Keoghan,Dunkirk
Mark Rylance-Dunkirk,Mark Rylance,Dunkirk
Tom Hardy-Dunkirk,Tom Hardy,Dunkirk
Giuseppe Battiston-Perfetti sconosciuti,Giuseppe Battiston,Perfetti sconosciuti
Anna Foglietta-Perfetti sconosciuti,Anna Foglietta,Perfetti sconosciuti
Marco Giallini-Perfetti sconosciuti,Marco Giallini,Perfetti sconosciuti
Edoardo Leo-Perfetti sconosciuti,Edoardo Leo,Perfetti sconosciuti
Taraji P. Henson-Hidden Figures,Taraji P. Henson,Hidden Figures
Octavia Spencer-Hidden Figures,Octavia Spencer,Hidden Figures
Janelle Monáe-Hidden Figures,Janelle Monáe,Hidden Figures
Kevin Costner-Hidden Figures,Kevin Costner,Hidden Figures
Ben Whishaw-Paddington 2,Ben Whishaw,Paddington 2
Hugh Grant-Paddington 2,Hugh Grant,Paddington 2
Hugh Bonneville-Paddington 2,Hugh Bonneville,Paddington 2
Sally Hawkins-Paddington 2,Sally Hawkins,Paddington 2
Shahid Kapoor-Udta Punjab,Shahid Kapoor,Udta Punjab
Alia Bhatt-Udta Punjab,Alia Bhatt,Udta Punjab
Kareena Kapoor-Udta Punjab,Kareena Kapoor,Udta Punjab
Diljit Dosanjh-Udta Punjab,Diljit Dosanjh,Udta Punjab
Charlize Theron-Kubo and the Two Strings,Charlize Theron,Kubo and the Two Strings
Art Parkinson-Kubo and the Two Strings,Art Parkinson,Kubo and the Two Strings
Matthew McConaughey-Kubo and the Two Strings,Matthew McConaughey,Kubo and the Two Strings
Ralph Fiennes-Kubo and the Two Strings,Ralph Fiennes,Kubo and the Two Strings
Sushant Singh Rajput-M.S. Dhoni: The Untold Story,Sushant Singh Rajput,M.S. Dhoni: The Untold Story
Kiara Advani-M.S. Dhoni: The Untold Story,Kiara Advani,M.S. Dhoni: The Untold Story
Anupam Kher-M.S. Dhoni: The Untold Story,Anupam Kher,M.S. Dhoni: The Untold Story
Disha Patani-M.S. Dhoni: The Untold Story,Disha Patani,M.S. Dhoni: The Untold Story
Casey Affleck-Manchester by the Sea,Casey Affleck,Manchester by the Sea
Michelle Williams-Manchester by the Sea,Michelle Williams,Manchester by the Sea
Kyle Chandler-Manchester by the Sea,Kyle Chandler,Manchester by the Sea
Lucas Hedges-Manchester by the Sea,Lucas Hedges,Manchester by the Sea
Roland Møller-Under sandet,Roland Møller,Under sandet
Louis Hofmann-Under sandet,Louis Hofmann,Under sandet
Joel Basman-Under sandet,Joel Basman,Under sandet
Mikkel Boe Følsgaard-Under sandet,Mikkel Boe Følsgaard,Under sandet
Felicity Jones-Rogue One,Felicity Jones,Rogue One
Diego Luna-Rogue One,Diego Luna,Rogue One
Alan Tudyk-Rogue One,Alan Tudyk,Rogue One
Donnie Yen-Rogue One,Donnie Yen,Rogue One
Joe Russo-Captain America: Civil War,Joe Russo,Captain America: Civil War
Chris Evans-Captain America: Civil War,Chris Evans,Captain America: Civil War
Robert Downey Jr.-Captain America: Civil War,Robert Downey Jr.,Captain America: Civil War
Scarlett Johansson-Captain America: Civil War,Scarlett Johansson,Captain America: Civil War
Samuel L. Jackson-The Hateful Eight,Samuel L. Jackson,The Hateful Eight
Kurt Russell-The Hateful Eight,Kurt Russell,The Hateful Eight
Jennifer Jason Leigh-The Hateful Eight,Jennifer Jason Leigh,The Hateful Eight
Walton Goggins-The Hateful Eight,Walton Goggins,The Hateful Eight
Saoirse Ronan-Little Women,Saoirse Ronan,Little Women
Emma Watson-Little Women,Emma Watson,Little Women
Florence Pugh-Little Women,Florence Pugh,Little Women
Eliza Scanlen-Little Women,Eliza Scanlen,Little Women
Hugh Welchman-Loving Vincent,Hugh Welchman,Loving Vincent
Douglas Booth-Loving Vincent,Douglas Booth,Loving Vincent
Jerome Flynn-Loving Vincent,Jerome Flynn,Loving Vincent
Robert Gulaczyk-Loving Vincent,Robert Gulaczyk,Loving Vincent
Bill Nighy-Pride,Bill Nighy,Pride
Imelda Staunton-Pride,Imelda Staunton,Pride
Dominic West-Pride,Dominic West,Pride
Paddy Considine-Pride,Paddy Considine,Pride
Bérénice Bejo-Le passé,Bérénice Bejo,Le passé
Tahar Rahim-Le passé,Tahar Rahim,Le passé
Ali Mosaffa-Le passé,Ali Mosaffa,Le passé
Pauline Burlet-Le passé,Pauline Burlet,Le passé
Toni Servillo-La grande bellezza,Toni Servillo,La grande bellezza
Carlo Verdone-La grande bellezza,Carlo Verdone,La grande bellezza
Sabrina Ferilli-La grande bellezza,Sabrina Ferilli,La grande bellezza
Carlo Buccirosso-La grande bellezza,Carlo Buccirosso,La grande bellezza
Irrfan Khan-The Lunchbox,Irrfan Khan,The Lunchbox
Nimrat Kaur-The Lunchbox,Nimrat Kaur,The Lunchbox
Nawazuddin Siddiqui-The Lunchbox,Nawazuddin Siddiqui,The Lunchbox
Lillete Dubey-The Lunchbox,Lillete Dubey,The Lunchbox
Ayushmann Khurrana-Vicky Donor,Ayushmann Khurrana,Vicky Donor
Yami Gautam-Vicky Donor,Yami Gautam,Vicky Donor
Annu Kapoor-Vicky Donor,Annu Kapoor,Vicky Donor
Dolly Ahluwalia-Vicky Donor,Dolly Ahluwalia,Vicky Donor
Chris Williams-Big Hero 6,Chris Williams,Big Hero 6
Ryan Potter-Big Hero 6,Ryan Potter,Big Hero 6
Scott Adsit-Big Hero 6,Scott Adsit,Big Hero 6
Jamie Chung-Big Hero 6,Jamie Chung,Big Hero 6
Domhnall Gleeson-About Time,Domhnall Gleeson,About Time
Rachel McAdams-About Time,Rachel McAdams,About Time
Bill Nighy-About Time,Bill Nighy,About Time
Lydia Wilson-About Time,Lydia Wilson,About Time
Sridevi-English Vinglish,Sridevi,English Vinglish
Adil Hussain-English Vinglish,Adil Hussain,English Vinglish
Mehdi Nebbou-English Vinglish,Mehdi Nebbou,English Vinglish
Priya Anand-English Vinglish,Priya Anand,English Vinglish
Hideaki Anno-Kaze tachinu,Hideaki Anno,Kaze tachinu
Hidetoshi Nishijima-Kaze tachinu,Hidetoshi Nishijima,Kaze tachinu
Miori Takimoto-Kaze tachinu,Miori Takimoto,Kaze tachinu
Masahiko Nishimura-Kaze tachinu,Masahiko Nishimura,Kaze tachinu
Tom Hanks-Toy Story 4,Tom Hanks,Toy Story 4
Tim Allen-Toy Story 4,Tim Allen,Toy Story 4
Annie Potts-Toy Story 4,Annie Potts,Toy Story 4
Tony Hale-Toy Story 4,Tony Hale,Toy Story 4
Geoffrey Rush-La migliore offerta,Geoffrey Rush,La migliore offerta
Jim Sturgess-La migliore offerta,Jim Sturgess,La migliore offerta
Sylvia Hoeks-La migliore offerta,Sylvia Hoeks,La migliore offerta
Donald Sutherland-La migliore offerta,Donald Sutherland,La migliore offerta
Jared Gilman-Moonrise Kingdom,Jared Gilman,Moonrise Kingdom
Kara Hayward-Moonrise Kingdom,Kara Hayward,Moonrise Kingdom
Bruce Willis-Moonrise Kingdom,Bruce Willis,Moonrise Kingdom
Bill Murray-Moonrise Kingdom,Bill Murray,Moonrise Kingdom
Jay Baruchel-How to Train Your Dragon 2,Jay Baruchel,How to Train Your Dragon 2
Cate Blanchett-How to Train Your Dragon 2,Cate Blanchett,How to Train Your Dragon 2
Gerard Butler-How to Train Your Dragon 2,Gerard Butler,How to Train Your Dragon 2
Craig Ferguson-How to Train Your Dragon 2,Craig Ferguson,How to Train Your Dragon 2
Christian Bale-The Big Short,Christian Bale,The Big Short
Steve Carell-The Big Short,Steve Carell,The Big Short
Ryan Gosling-The Big Short,Ryan Gosling,The Big Short
Brad Pitt-The Big Short,Brad Pitt,The Big Short
Takako Matsu-Kokuhaku,Takako Matsu,Kokuhaku
Yoshino Kimura-Kokuhaku,Yoshino Kimura,Kokuhaku
Masaki Okada-Kokuhaku,Masaki Okada,Kokuhaku
Yukito Nishii-Kokuhaku,Yukito Nishii,Kokuhaku
Lee Byung-Hun-Ang-ma-reul bo-at-da,Lee Byung-Hun,Ang-ma-reul bo-at-da
Choi Min-sik-Ang-ma-reul bo-at-da,Choi Min-sik,Ang-ma-reul bo-at-da
Jeon Gook-Hwan-Ang-ma-reul bo-at-da,Jeon Gook-Hwan,Ang-ma-reul bo-at-da
Ho-jin Chun-Ang-ma-reul bo-at-da,Ho-jin Chun,Ang-ma-reul bo-at-da
Daniel Craig-The Girl with the Dragon Tattoo,Daniel Craig,The Girl with the Dragon Tattoo
Rooney Mara-The Girl with the Dragon Tattoo,Rooney Mara,The Girl with the Dragon Tattoo
Christopher Plummer-The Girl with the Dragon Tattoo,Christopher Plummer,The Girl with the Dragon Tattoo
Stellan Skarsgård-The Girl with the Dragon Tattoo,Stellan Skarsgård,The Girl with the Dragon Tattoo
Tom Hanks-Captain Phillips,Tom Hanks,Captain Phillips
Barkhad Abdi-Captain Phillips,Barkhad Abdi,Captain Phillips
Barkhad Abdirahman-Captain Phillips,Barkhad Abdirahman,Captain Phillips
Catherine Keener-Captain Phillips,Catherine Keener,Captain Phillips
Won Bin-Ajeossi,Won Bin,Ajeossi
Sae-ron Kim-Ajeossi,Sae-ron Kim,Ajeossi
Tae-hoon Kim-Ajeossi,Tae-hoon Kim,Ajeossi
Hee-won Kim-Ajeossi,Hee-won Kim,Ajeossi
O'Shea Jackson Jr.-Straight Outta Compton,O'Shea Jackson Jr.,Straight Outta Compton
Corey Hawkins-Straight Outta Compton,Corey Hawkins,Straight Outta Compton
Jason Mitchell-Straight Outta Compton,Jason Mitchell,Straight Outta Compton
Neil Brown Jr.-Straight Outta Compton,Neil Brown Jr.,Straight Outta Compton
Hye-ja Kim-Madeo,Hye-ja Kim,Madeo
Won Bin-Madeo,Won Bin,Madeo
Jin Goo-Madeo,Jin Goo,Madeo
Je-mun Yun-Madeo,Je-mun Yun,Madeo
Kim Yoon-seok-Chugyeokja,Kim Yoon-seok,Chugyeokja
Jung-woo Ha-Chugyeokja,Jung-woo Ha,Chugyeokja
Yeong-hie Seo-Chugyeokja,Yeong-hie Seo,Chugyeokja
Yoo-Jeong Kim-Chugyeokja,Yoo-Jeong Kim,Chugyeokja
Ian McKellen-The Hobbit: The Desolation of Smaug,Ian McKellen,The Hobbit: The Desolation of Smaug
Martin Freeman-The Hobbit: The Desolation of Smaug,Martin Freeman,The Hobbit: The Desolation of Smaug
Richard Armitage-The Hobbit: The Desolation of Smaug,Richard Armitage,The Hobbit: The Desolation of Smaug
Ken Stott-The Hobbit: The Desolation of Smaug,Ken Stott,The Hobbit: The Desolation of Smaug
Christian Friedel-Das weiße Band - Eine deutsche Kindergeschichte,Christian Friedel,Das weiße Band - Eine deutsche Kindergeschichte
Ernst Jacobi-Das weiße Band - Eine deutsche Kindergeschichte,Ernst Jacobi,Das weiße Band - Eine deutsche Kindergeschichte
Leonie Benesch-Das weiße Band - Eine deutsche Kindergeschichte,Leonie Benesch,Das weiße Band - Eine deutsche Kindergeschichte
Ulrich Tukur-Das weiße Band - Eine deutsche Kindergeschichte,Ulrich Tukur,Das weiße Band - Eine deutsche Kindergeschichte
Michael Nyqvist-Män som hatar kvinnor,Michael Nyqvist,Män som hatar kvinnor
Noomi Rapace-Män som hatar kvinnor,Noomi Rapace,Män som hatar kvinnor
Ewa Fröling-Män som hatar kvinnor,Ewa Fröling,Män som hatar kvinnor
Lena Endre-Män som hatar kvinnor,Lena Endre,Män som hatar kvinnor
Eddie Redmayne-The Trial of the Chicago 7,Eddie Redmayne,The Trial of the Chicago 7
Alex Sharp-The Trial of the Chicago 7,Alex Sharp,The Trial of the Chicago 7
Sacha Baron Cohen-The Trial of the Chicago 7,Sacha Baron Cohen,The Trial of the Chicago 7
Jeremy Strong-The Trial of the Chicago 7,Jeremy Strong,The Trial of the Chicago 7
Mads Mikkelsen-Druk,Mads Mikkelsen,Druk
Thomas Bo Larsen-Druk,Thomas Bo Larsen,Druk
Magnus Millang-Druk,Magnus Millang,Druk
Lars Ranthe-Druk,Lars Ranthe,Druk
Mark Wahlberg-The Fighter,Mark Wahlberg,The Fighter
Christian Bale-The Fighter,Christian Bale,The Fighter
Amy Adams-The Fighter,Amy Adams,The Fighter
Melissa Leo-The Fighter,Melissa Leo,The Fighter
Liam Neeson-Taken,Liam Neeson,Taken
Maggie Grace-Taken,Maggie Grace,Taken
Famke Janssen-Taken,Famke Janssen,Taken
Leland Orser-Taken,Leland Orser,Taken
Asa Butterfield-The Boy in the Striped Pyjamas,Asa Butterfield,The Boy in the Striped Pyjamas
David Thewlis-The Boy in the Striped Pyjamas,David Thewlis,The Boy in the Striped Pyjamas
Rupert Friend-The Boy in the Striped Pyjamas,Rupert Friend,The Boy in the Striped Pyjamas
Zac Mattoon O'Brien-The Boy in the Striped Pyjamas,Zac Mattoon O'Brien,The Boy in the Striped Pyjamas
Glen Hansard-Once,Glen Hansard,Once
Markéta Irglová-Once,Markéta Irglová,Once
Hugh Walsh-Once,Hugh Walsh,Once
Gerard Hendrick-Once,Gerard Hendrick,Once
Martin Freeman-The Hobbit: An Unexpected Journey,Martin Freeman,The Hobbit: An Unexpected Journey
Ian McKellen-The Hobbit: An Unexpected Journey,Ian McKellen,The Hobbit: An Unexpected Journey
Richard Armitage-The Hobbit: An Unexpected Journey,Richard Armitage,The Hobbit: An Unexpected Journey
Andy Serkis-The Hobbit: An Unexpected Journey,Andy Serkis,The Hobbit: An Unexpected Journey
Baki Davrak-Auf der anderen Seite,Baki Davrak,Auf der anderen Seite
Nurgül Yesilçay-Auf der anderen Seite,Nurgül Yesilçay,Auf der anderen Seite
Tuncel Kurtiz-Auf der anderen Seite,Tuncel Kurtiz,Auf der anderen Seite
Nursel Köse-Auf der anderen Seite,Nursel Köse,Auf der anderen Seite
Keira Knightley-Atonement,Keira Knightley,Atonement
James McAvoy-Atonement,James McAvoy,Atonement
Brenda Blethyn-Atonement,Brenda Blethyn,Atonement
Saoirse Ronan-Atonement,Saoirse Ronan,Atonement
Ryan Gosling-Drive,Ryan Gosling,Drive
Carey Mulligan-Drive,Carey Mulligan,Drive
Bryan Cranston-Drive,Bryan Cranston,Drive
Albert Brooks-Drive,Albert Brooks,Drive
Denzel Washington-American Gangster,Denzel Washington,American Gangster
Russell Crowe-American Gangster,Russell Crowe,American Gangster
Chiwetel Ejiofor-American Gangster,Chiwetel Ejiofor,American Gangster
Josh Brolin-American Gangster,Josh Brolin,American Gangster
Sam Worthington-Avatar,Sam Worthington,Avatar
Zoe Saldana-Avatar,Zoe Saldana,Avatar
Sigourney Weaver-Avatar,Sigourney Weaver,Avatar
Michelle Rodriguez-Avatar,Michelle Rodriguez,Avatar
Jared Leto-Mr. Nobody,Jared Leto,Mr. Nobody
Sarah Polley-Mr. Nobody,Sarah Polley,Mr. Nobody
Diane Kruger-Mr. Nobody,Diane Kruger,Mr. Nobody
Linh Dan Pham-Mr. Nobody,Linh Dan Pham,Mr. Nobody
Gerardo Taracena-Apocalypto,Gerardo Taracena,Apocalypto
Raoul Max Trujillo-Apocalypto,Raoul Max Trujillo,Apocalypto
Dalia Hernández-Apocalypto,Dalia Hernández,Apocalypto
Rudy Youngblood-Apocalypto,Rudy Youngblood,Apocalypto
Valerie Faris-Little Miss Sunshine,Valerie Faris,Little Miss Sunshine
Steve Carell-Little Miss Sunshine,Steve Carell,Little Miss Sunshine
Toni Collette-Little Miss Sunshine,Toni Collette,Little Miss Sunshine
Greg Kinnear-Little Miss Sunshine,Greg Kinnear,Little Miss Sunshine
Simon Pegg-Hot Fuzz,Simon Pegg,Hot Fuzz
Nick Frost-Hot Fuzz,Nick Frost,Hot Fuzz
Martin Freeman-Hot Fuzz,Martin Freeman,Hot Fuzz
Bill Nighy-Hot Fuzz,Bill Nighy,Hot Fuzz
Brad Pitt-The Curious Case of Benjamin Button,Brad Pitt,The Curious Case of Benjamin Button
Cate Blanchett-The Curious Case of Benjamin Button,Cate Blanchett,The Curious Case of Benjamin Button
Tilda Swinton-The Curious Case of Benjamin Button,Tilda Swinton,The Curious Case of Benjamin Button
Julia Ormond-The Curious Case of Benjamin Button,Julia Ormond,The Curious Case of Benjamin Button
Shah Rukh Khan-Veer-Zaara,Shah Rukh Khan,Veer-Zaara
